region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr
PRD,HS30-60_HR10,54.9116,61.0084,0.90006622,5.49116,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,30.2971,84.0339,0.360534261,0.611337515,0.020178087,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,56.5712,67.0643,0.843536725,5.65712,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,24.7045,58.8571,0.419736956,0.986013877,0.039912319,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,68.7526,54.9119,1.252052834,6.87526,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,40.2038,76.1647,0.527853454,3.053524904,0.075951151,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,36.7076,75.5306,0.485996404,2.275827201,0.061998801,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,20.7948,57.4797,0.361776418,0.428209422,0.020592139,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,36.1165,55.6088,0.649474544,3.61165,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,39.7392,79.698,0.498622299,2.631030424,0.066207433,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,28.2336,71.4507,0.395147983,0.895456699,0.031715994,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,25.7969,63.187,0.408262776,0.930947998,0.036087592,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,41.5901,77.9523,0.533532686,3.237549255,0.077844229,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,52.4445,64.5546,0.812405313,5.24445,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,44.8381,63.2608,0.708781742,4.48381,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,32.3361,60.3914,0.535442132,2.537760113,0.078480711,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,45.9725,51.4049,0.894321358,4.59725,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,33.9744,54.0337,0.628763161,3.39744,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,33.2085,71.6866,0.463245572,1.807046856,0.054415191,,,,,,,,,,,,,,,,
